District,Mandal,RBK,QTY(MTs),No Of Farmers,Amount(Rs),Season
ANANTHAPUR,GUMMAGATTA,GUMMAGATTA,601.5,15,1112775,Kharif_2020
ANANTHAPUR,GUMMAGATTA,KALUGODU2,280,12,518000,Kharif_2020
ANANTHAPUR,HINDUPUR,KAGGALLU,131,5,242350,Kharif_2020
ANANTHAPUR,BELUGUPPA,SREERANGAPURAM,777.5,7,1438375,Kharif_2020
ANANTHAPUR,VIDAPANKAL,V.KOTHAKOTA,663,8,1226550,Kharif_2020
ANANTHAPUR,HINDUPUR,CHOWLURU2,621.5,14,1149775,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,BRAHMASAMUDRAM,5.5,2,11825,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,SOMANAPALLI,265.5,21,1354050,Rabi_2020
ANANTHAPUR,SOMANDEPALLI,MANDLI,660,18,1221000,Kharif_2020
ANANTHAPUR,TADIPARTRI,BHOGASAMUDRAM2,285,5,527250,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,THATICHERLA,227.5,6,420875,Kharif_2020
ANANTHAPUR,HINDUPUR,GOLLAPURAM,172.5,5,319125,Kharif_2020
ANANTHAPUR,TADIPARTRI,BHOGASAMUDRAM2,11,2,56100,Rabi_2020
ANANTHAPUR,TADIPARTRI,BRAMHANAPALLI1,58,6,295800,Rabi_2020
ANANTHAPUR,PEDDAPAPPUR,PEDDAYEKKALURU,85.5,8,436050,Rabi_2020
ANANTHAPUR,DHARMAVARAM,ELUKUNTLA,64,2,118400,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,YERRADIKERRA,188,2,347800,Kharif_2020
ANANTHAPUR,KOTHACHERUVU,MYLASAMUDRAM,68,4,125800,Kharif_2020
ANANTHAPUR,CHILMATHUR,TEKULODU,745.5,18,1379175,Kharif_2020
ANANTHAPUR,KANEKAL,MALYAM,12,2,61200,Rabi_2020
ANANTHAPUR,D.HIREHAL,D.HIREHAL2,30.5,1,65575,Kharif_2020
ANANTHAPUR,TANAKALLU,BONTHALAPALLI,22.5,1,41625,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,NARASAPURAM,50.5,4,257550,Rabi_2020
ANANTHAPUR,VIDAPANKAL,HAVALIGI1,100,1,185000,Kharif_2020
ANANTHAPUR,PUTTAPARTHY URBAN,PRASANTHIGRAM,9.5,1,17575,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,VEPALAPARTHY1,72,4,133200,Kharif_2020
ANANTHAPUR,D.HIREHAL,PULAKURTHI,120,2,222000,Kharif_2020
ANANTHAPUR,URAVAKONDA,RAKETLA,224,3,414400,Kharif_2020
ANANTHAPUR,KANEKAL,HANAKANAHAL,285,1,527250,Kharif_2020
ANANTHAPUR,KALYANADURGAM URBAN,DODAGATTA,183.5,5,339475,Kharif_2020
ANANTHAPUR,BELUGUPPA,ANKAMALLI,55.5,1,102675,Kharif_2020
ANANTHAPUR,TADIPARTRI,VENKATAREDDYPALLI1,159.5,2,295075,Kharif_2020
ANANTHAPUR,VIDAPANKAL,DONEKALLU,197,1,364450,Kharif_2020
ANANTHAPUR,KALYANDURG,EASTKODIPALLI,98,1,181300,Kharif_2020
ANANTHAPUR,SINGANAMALA,JOOLAKALUVA,21,1,38850,Kharif_2020
ANANTHAPUR,PUTLUR,THAKKALLAPALLI,784.5,59,4000950,Rabi_2020
ANANTHAPUR,NARPALA,DUGGUMARRI,793.5,14,1467975,Kharif_2020
ANANTHAPUR,SOMANDEPALLI,TUNGODU,2806,58,5191100,Kharif_2020
ANANTHAPUR,RODDAM,M.KOTHAPALLE,1501,44,2776850,Kharif_2020
ANANTHAPUR,DHARMAVARAM,MALLAKALVA,441.15,71,2308931.25,Kharif_2020
ANANTHAPUR,PENUKONDA,NAGALURU,932.5,21,1725125,Kharif_2020
ANANTHAPUR,RODDAM,KALIPI,884,30,1635400,Kharif_2020
ANANTHAPUR,KADIRI,KADIRIBRAMHANAPALLI,172.5,21,370875,Kharif_2020
ANANTHAPUR,SOMANDEPALLI,PANDIPARTHI,2115,48,3912750,Kharif_2020
ANANTHAPUR,URAVAKONDA,NERIMETLA,1912,33,3537200,Kharif_2020
ANANTHAPUR,GORANTLA,BUDILI,1645.5,51,3044175,Kharif_2020
ANANTHAPUR,PAMIDI,ANUMPALLE,170.3,30,879965,Kharif_2020
ANANTHAPUR,LEPAKSHI,MYDUGOLAM,432,16,799200,Kharif_2020
ANANTHAPUR,PARIGI,MODA-1,1139,40,2107150,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,MUCHUKOTA,967.5,22,1789875,Kharif_2020
ANANTHAPUR,SOMANDEPALLI,JULUKUNTA,350,9,647500,Kharif_2020
ANANTHAPUR,D.HIREHAL,NAGALAPURAM,659.5,13,1220075,Kharif_2020
ANANTHAPUR,YADIKI,PUPPALA,1894.5,26,3504825,Kharif_2020
ANANTHAPUR,HINDUPUR,MALUGURU,1966.5,60,3638025,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,GUNDIGANIPALLI,161,10,346150,Kharif_2020
ANANTHAPUR,KOTHACHERUVU,KODAPAGANIPALLI,85.5,3,158175,Kharif_2020
ANANTHAPUR,YELLANUR,KUCHIVARIPALLI,4169,64,7712650,Kharif_2020
ANANTHAPUR,GORANTLA,PALASAMUDRAM,442.5,12,818625,Kharif_2020
ANANTHAPUR,KANEKAL,JAKKALAVADIKI,1827.5,26,3380875,Kharif_2020
ANANTHAPUR,BELUGUPPA,YERRAGUDI,1941.5,29,3591775,Kharif_2020
ANANTHAPUR,GORANTLA,MALLAPALLI,825.5,24,1527175,Kharif_2020
ANANTHAPUR,NARPALA,BONDALAWADA,480.5,9,888925,Kharif_2020
ANANTHAPUR,RAYADURG,D.KONDAPURAM,755,6,1396750,Kharif_2020
ANANTHAPUR,HINDUPUR URBAN,INDIRANAGAR,2515.5,67,4653675,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,JUTURU,6232.5,69,11530125,Kharif_2020
ANANTHAPUR,HINDUPUR,BALAMPALLI,1279,68,2366150,Kharif_2020
ANANTHAPUR,LEPAKSHI,LEPAKSHI2,328.5,11,607725,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,AMMALADINNE,4107,71,7597950,Kharif_2020
ANANTHAPUR,CHILMATHUR,CHILAMATHUR2,1716,52,3174600,Kharif_2020
ANANTHAPUR,YELLANUR,PEDDAMALLEPALLI,1466.5,27,2713025,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,GUNDIGANIPALLI,765.5,18,1416175,Kharif_2020
ANANTHAPUR,TADIPARTRI,CHINNAPOLAMADA,3087,32,5710950,Kharif_2020
ANANTHAPUR,GUNTHAKAL,NAGASAMUDRAMU,27.3,7,144007.5,Kharif_2020
ANANTHAPUR,LEPAKSHI,KODIPALLI,780.5,40,1443925,Kharif_2020
ANANTHAPUR,BUKKAPATNAM,BUKKAPATNAM2,198.5,5,367225,Kharif_2020
ANANTHAPUR,NALLAMADA,KURUMALA,120,4,222000,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,AMMALADINNE,438,44,2233800,Rabi_2020
ANANTHAPUR,NALLAMADA,NALLAMADA2,22,2,47300,Kharif_2020
ANANTHAPUR,YELLANUR,DANTALAPALLI,780.5,14,1443925,Kharif_2020
ANANTHAPUR,BOMMANAHAL,ELANJI,979.5,15,1812075,Kharif_2020
ANANTHAPUR,PARIGI,PARIGI2,17,2,31450,Kharif_2020
ANANTHAPUR,HINDUPUR,THUMUKUNTA,158,9,292300,Kharif_2020
ANANTHAPUR,CHILMATHUR,CHAGALERU,348.5,7,644725,Kharif_2020
ANANTHAPUR,CHILMATHUR,SOMAGHATTA,556,14,1028600,Kharif_2020
ANANTHAPUR,D.HIREHAL,PULAKURTHI,444,18,954600,Kharif_2020
ANANTHAPUR,GUNTHAKAL,NAKKANADODDI,66.85,9,352633.75,Kharif_2020
ANANTHAPUR,TADIPARTRI,GENNEVARIPALLI-3,19.5,1,99450,Rabi_2020
ANANTHAPUR,KUDERU,THIMMAPURAM,22.5,1,41625,Kharif_2020
ANANTHAPUR,PEDDAVADUGUR,KRISTIPADU2,121.5,7,261225,Kharif_2020
ANANTHAPUR,NARPALA,B.PAPPUR,164,3,303400,Kharif_2020
ANANTHAPUR,RAYADURG,NAGIREDDIPALLI,251,4,464350,Kharif_2020
ANANTHAPUR,TANAKALLU,ETHODU,68,2,125800,Kharif_2020
ANANTHAPUR,TADIPARTRI,BRAMHANAPALLI2,24,2,122400,Rabi_2020
ANANTHAPUR,NALLAMADA,DONNIKOTA1,24,2,44400,Kharif_2020
ANANTHAPUR,PENUKONDA,SETTYPALLI,47,2,86950,Kharif_2020
ANANTHAPUR,BUKKARAYASAMUDRAM,B.K.SAMUDRAM1,30,1,55500,Kharif_2020
ANANTHAPUR,KUDERU,GOTUKURU,67,2,123950,Kharif_2020
ANANTHAPUR,BUKKAPATNAM,GUNIPALLI,22,1,40700,Kharif_2020
ANANTHAPUR,D.HIREHAL,SOMALAPURAM,39,1,72150,Kharif_2020
ANANTHAPUR,OBULA DEVARA CHERUVU,KONDAKAMARLA2,70,1,129500,Kharif_2020
ANANTHAPUR,PENUKONDA,DUDDEBANDA,547.5,13,1012875,Kharif_2020
ANANTHAPUR,VIDAPANKAL,UNDABANDA,69.5,4,354450,Rabi_2020
ANANTHAPUR,D.HIREHAL,GODISALAPALLI,857.5,16,1586375,Kharif_2020
ANANTHAPUR,BOMMANAHAL,BOMMANAHAL,634.5,9,1173825,Kharif_2020
ANANTHAPUR,GORANTLA,KONDAPURAM,738,21,1365300,Kharif_2020
ANANTHAPUR,KOTHACHERUVU,MIRZAPURAM,193,4,357050,Kharif_2020
ANANTHAPUR,LEPAKSHI,KONDUR,1451.5,43,2685275,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,PEDDAYEKKALURU,4093.5,69,7572975,Kharif_2020
ANANTHAPUR,GUMMAGATTA,MAREMPALLI,124.5,3,230325,Kharif_2020
ANANTHAPUR,KANEKAL,KANEKAL2,1403,17,2595550,Kharif_2020
ANANTHAPUR,SOMANDEPALLI,CHALAKUR,1169.5,30,2163575,Kharif_2020
ANANTHAPUR,CHILMATHUR,KODUR2,1244,44,2301400,Kharif_2020
ANANTHAPUR,CHILMATHUR,CHILAMATHUR1,1569,58,2902650,Kharif_2020
ANANTHAPUR,LEPAKSHI,KALLUR,1731,48,3202350,Kharif_2020
ANANTHAPUR,MADAKASIRA,MELAVOI,183,8,338550,Kharif_2020
ANANTHAPUR,HINDUPUR,BEVINAHALLI,1024.5,33,1895325,Kharif_2020
ANANTHAPUR,BOMMANAHAL,BANDURU,883,17,1633550,Kharif_2020
ANANTHAPUR,KUDERU,IPPERU,319.55,20,1483273.75,Kharif_2020
ANANTHAPUR,RAYADURG,75UDEGOLAM,963,24,1781550,Kharif_2020
ANANTHAPUR,CHILMATHUR,DEMAKETHEPALLE2,1261.5,42,2333775,Kharif_2020
CHITTOOR,PICHATUR,KEELAPUDI,1898.5,67,4081775,Kharif_2020
CHITTOOR,PICHATUR,MUDIYURU,894.5,33,1923175,Kharif_2020
CHITTOOR,K V B PURAM,ADAVARAM,2075.5,105,4462325,Kharif_2020
CHITTOOR,BUCHINAIDU KHANDRIGA,WESTWARATHUR,173.5,11,373025,Kharif_2020
CHITTOOR,SATYAVEDU,KANNAVARAM,2026.5,83,4356975,Kharif_2020
CHITTOOR,VIJAYA PURAM,SRIHARIPURAM,40,4,86000,Kharif_2020
CHITTOOR,VIJAYA PURAM,BUCHIVANATHAM,190,9,408500,Kharif_2020
CHITTOOR,PEDDATHIPPASAMUDRAM,MADUMURU,537,13,993450,Kharif_2020
CHITTOOR,NARAYANAVANAM,ARANYAMAKANDRIGA,113,13,242950,Kharif_2020
CHITTOOR,PEDDATHIPPASAMUDRAM,RAPURIVARIPALLE,592.5,20,1096125,Kharif_2020
CHITTOOR,NINDRA,KOPPEDU,184,8,395600,Kharif_2020
CHITTOOR,VARADAIAHPALEM,PANDOOR,349,15,750350,Kharif_2020
CHITTOOR,,M.KOTHUR,21.5,3,46225,Kharif_2020
CHITTOOR,PEDDATHIPPASAMUDRAM,KATNAGALLU,161.5,7,298775,Kharif_2020
CHITTOOR,PEDDATHIPPASAMUDRAM,KANDUKURU,36,1,66600,Kharif_2020
CHITTOOR,K V B PURAM,KALATHURU,402,28,864300,Kharif_2020
CHITTOOR,PUTTUR,GOPALAKRISHNAPURAM,239,28,513850,Kharif_2020
CHITTOOR,VIJAYA PURAM,KALIYAMBAKAM,791,34,1700650,Kharif_2020
CHITTOOR,NAGARI,DAMARAPAKAM,294,16,632100,Kharif_2020
CHITTOOR,SATYAVEDU,MADANAMBEDU,400,17,860000,Kharif_2020
CHITTOOR,K V B PURAM,EGUVAPUDI,92,9,197800,Kharif_2020
CHITTOOR,VIJAYA PURAM,VIJAYAPURAM,465.5,17,1000825,Kharif_2020
CHITTOOR,NINDRA,ARURU,129,7,277350,Kharif_2020
CHITTOOR,NAGALAPURAM,S.S.PURAM,958,30,2059700,Kharif_2020
CHITTOOR,PICHATUR,GOVARDHANAGIRI,2794,89,6007100,Kharif_2020
CHITTOOR,NINDRA,PADIRI,515.5,26,1108325,Kharif_2020
CHITTOOR,BUCHINAIDU KHANDRIGA,B.N.KANDRIGA,277,13,595550,Kharif_2020
CHITTOOR,MULAKALACHERUVU,GUDUPALLE,269.5,5,498575,Rabi_2020
CHITTOOR,PEDDATHIPPASAMUDRAM,PEDDATHIPPASAMUDRAM1,67.5,2,124875,Kharif_2020
CHITTOOR,K V B PURAM,MIDDIKANDRIGA,417,29,896550,Kharif_2020
CHITTOOR,K V B PURAM,PERINDESAM,49,4,105350,Kharif_2020
CHITTOOR,SATYAVEDU,DASUKUPPAM,88.5,4,190275,Kharif_2020
CHITTOOR,K V B PURAM,OLLURU,1187.7,83,2554200,Kharif_2020
CHITTOOR,K V B PURAM,ARAI,586,32,1259900,Kharif_2020
CHITTOOR,NAGARI,NAMBAKAM,918,30,1973700,Kharif_2020
CHITTOOR,K V B PURAM,KATRAPALLI,471.5,22,1013725,Kharif_2020
CHITTOOR,VIJAYA PURAM,JAGANNADHAPURAM,687,36,1477050,Kharif_2020
CHITTOOR,K V B PURAM,KANDLURU,268.5,17,577275,Kharif_2020
CHITTOOR,NAGALAPURAM,T.P.KOTA,206,10,442900,Kharif_2020
CHITTOOR,K V B PURAM,KOVANUR,38.5,4,82775,Kharif_2020
CHITTOOR,NINDRA,KAVANURU,766,43,1646900,Kharif_2020
CHITTOOR,K V B PURAM,SADASIVAPURAM,1635,92,3515250,Kharif_2020
CHITTOOR,NAGALAPURAM,KADIVEDU,550,18,1182500,Kharif_2020
CHITTOOR,PICHATUR,RAMAPURAM,812,26,1745800,Kharif_2020
CHITTOOR,NAGARI,BUGGAAGRAHARAM,128,7,275200,Kharif_2020
CHITTOOR,NARAYANAVANAM,PALAMANGALAMSOUTH,21,3,45150,Kharif_2020
CHITTOOR,VIJAYA PURAM,ILLATHURU,10,1,21500,Kharif_2020
CHITTOOR,NINDRA,AGARAM,1080,43,2322000,Kharif_2020
CHITTOOR,NINDRA,NINDRA,925.5,55,1989825,Kharif_2020
CHITTOOR,VIJAYA PURAM,ALAPAKAM,554,21,1191100,Kharif_2020
CHITTOOR,K V B PURAM,KOTAMANGAPURAM,807.5,40,1736125,Kharif_2020
CHITTOOR,NAGALAPURAM,VEMBAKKAM,908,57,1952200,Kharif_2020
CHITTOOR,SATYAVEDU,RAJAGOPALAPURAM,589.5,31,1267425,Kharif_2020
CHITTOOR,PICHATUR,VENGALATHUR,939,39,2018850,Kharif_2020
CHITTOOR,PICHATUR,RAMAGIRI,223.5,10,480525,Kharif_2020
CHITTOOR,VIJAYA PURAM,KALIKAPURAM,145,8,311750,Kharif_2020
CHITTOOR,PEDDATHIPPASAMUDRAM,RANGASAMUDRAM,140.5,5,259925,Kharif_2020
CHITTOOR,NAGARI,BEERAKUPPAM,8.5,1,18275,Kharif_2020
CHITTOOR,NAGARI,M.KOTHUR,21,2,45150,Kharif_2020
CHITTOOR,B KOTHAKOTA,GATTU1,20.5,1,37925,Kharif_2020
CHITTOOR,K V B PURAM,M.A.RAJULAKANDRIGA,760,38,1634000,Kharif_2020
CHITTOOR,NINDRA,MELAMBAKAM,1006.5,60,2163975,Kharif_2020
CHITTOOR,NINDRA,NETTERI,447.5,13,962125,Kharif_2020
CHITTOOR,NINDRA,ATHURU,1187,47,2552050,Kharif_2020
CHITTOOR,VIJAYA PURAM,KSHURIKAPURAM,201,15,432150,Kharif_2020
CHITTOOR,VIJAYA PURAM,KOTHURUVENKATAPURAM,811.5,35,1744725,Kharif_2020
CHITTOOR,NINDRA,ELAKATUR,523,21,1124450,Kharif_2020
CHITTOOR,SATYAVEDU,P.V.PURAM,25,1,53750,Kharif_2020
CHITTOOR,NAGARI,VNRPETA,109.5,6,235425,Kharif_2020
CHITTOOR,K V B PURAM,RAYAPEDU,393.5,23,846025,Kharif_2020
CHITTOOR,MULAKALACHERUVU,SOMPALLE1,279,11,516150,Kharif_2020
CHITTOOR,NAGALAPURAM,KRISHNAPURAM,356,22,765400,Kharif_2020
CHITTOOR,VARADAIAHPALEM,KAMBAKAM,40.5,2,87075,Kharif_2020
CHITTOOR,NAGALAPURAM,BEERAKUPPAM,29.5,1,63425,Kharif_2020
CHITTOOR,K V B PURAM,KVBPURAM,1487.5,78,3198125,Kharif_2020
CHITTOOR,VIJAYA PURAM,PANNURU,1511,88,3248650,Kharif_2020
CHITTOOR,NAGARI,OGKUPPAM,160.5,10,345075,Kharif_2020
CHITTOOR,SATYAVEDU,SIRUNAMBUDURU,956.5,49,2056475,Kharif_2020
CHITTOOR,NAGALAPURAM,NAGALAPURAM2,391.5,13,841725,Kharif_2020
CHITTOOR,K V B PURAM,THIMMASAMUDRAM,113,10,242950,Kharif_2020
CHITTOOR,PUTTUR,UTTARAPUKANDRIGA,45.5,5,97825,Kharif_2020
CHITTOOR,MULAKALACHERUVU,GUDUPALLE,246,9,455100,Kharif_2020
CHITTOOR,MULAKALACHERUVU,SOMPALLE2,239,5,442150,Kharif_2020
CHITTOOR,VARADAIAHPALEM,SANTHAVELLORE,48,2,103200,Kharif_2020
CHITTOOR,PICHATUR,KARURU,27,2,58050,Kharif_2020
CHITTOOR,PEDDATHIPPASAMUDRAM,MALLELA,180,5,333000,Kharif_2020
CHITTOOR,MULAKALACHERUVU,T.SOWDASAMUDRAM,10,1,18500,Kharif_2020
EAST GODAVARI,SEETHANAGARAM,RAGHUDEVAPURAM1,1543,13,2854550,Rabi_2020
EAST GODAVARI,SEETHANAGARAM,CHINAKODEPUDI1,2760,13,5106000,Rabi_2020
EAST GODAVARI,SEETHANAGARAM,VANGALPUDI,300.5,2,555925,Rabi_2020
EAST GODAVARI,Y.RAMAVARAM,CHAVITIDIBBALU,109,3,201650,Kharif_2020
EAST GODAVARI,Y.RAMAVARAM,DALIPADU,106.5,2,197025,Kharif_2020
EAST GODAVARI,GANDEPALLI,UPPALAPADU,150,1,277500,Rabi_2020
EAST GODAVARI,SEETHANAGARAM,RAGHUDEVAPURAM3,91.5,2,169275,Rabi_2020
EAST GODAVARI,Y.RAMAVARAM,CHAMAGADDA,21.5,1,39775,Kharif_2020
EAST GODAVARI,Y.RAMAVARAM,P.YERRAGONDA,28,2,51800,Kharif_2020
GUNTUR,SAVALYAPURAM,KARUMANCHI,397,9,734450,Kharif_2020
GUNTUR,NARASARAOPET,YELLAMANDA-1,43.5,1,80475,Kharif_2020
GUNTUR,SAVALYAPURAM,MATHUKUMALLI,658,14,1217300,Kharif_2020
GUNTUR,VINUKONDA,ENUGUPALEM,854,10,1579900,Kharif_2020
GUNTUR,VINUKONDA,GOKANAKONDA,112,4,207200,Kharif_2020
GUNTUR,SAVALYAPURAM,GUNTUPALEM,7173,85,13270050,Kharif_2020
GUNTUR,ACHAMPETA,THALLACHERUVU,642,8,1187700,Kharif_2020
GUNTUR,NARASARAOPET,UPPALAPADU,913,10,1689050,Kharif_2020
KRISHNA,CHATRAI,NARASIMARAOPALEM,2060.5,30,3811925,Kharif_2020
KRISHNA,CHATRAI,KOTHAGUDEM,510.5,7,944425,Kharif_2020
KRISHNA,KANCHIKACHERLA,GOTTMUKKALA,1937.5,26,3584375,Kharif_2020
KRISHNA,VEERULLAPADU,NARASIMHARAOPALEM,3676,43,6800600,Kharif_2020
KRISHNA,KANCHIKACHERLA,PARITALA2,1163.5,11,2152475,Rabi_2020
KRISHNA,VATSAVAI,DABBAKUPALLI,112,2,207200,Rabi_2020
KRISHNA,NUZVID,EASTDIGAVALLI,215,3,397750,Rabi_2020
KRISHNA,NANDIGAMA,AMBARUPETA,39,1,72150,Kharif_2020
KRISHNA,A.KONDURU,A.KONDURU,623,7,1152550,Kharif_2020
KRISHNA,PENUGANCHIPROLU,NAVABPETA,452.5,5,837125,Kharif_2020
KRISHNA,KANCHIKACHERLA,PERAKALAPADU,272.5,4,504125,Kharif_2020
KRISHNA,MYLAVARAM,MORSUMILLI,98.5,2,182225,Kharif_2020
KRISHNA,VATSAVAI,VATSAVAI1,172,1,318200,Rabi_2020
KRISHNA,KANCHIKACHERLA,PARITALA2,3377,30,6247450,Kharif_2020
KRISHNA,NANDIGAMA,PALLAGIRI,129.5,3,239575,Kharif_2020
KRISHNA,VEERULLAPADU,ALLURU1,5286.5,75,9780025,Kharif_2020
KRISHNA,VEERULLAPADU,JAYANTHI,7122.5,108,13176625,Kharif_2020
KRISHNA,MYLAVARAM,PULLURU2,1009,8,1866650,Rabi_2020
KRISHNA,NANDIGAMA,ITHAVARM,926.5,12,1714025,Kharif_2020
KRISHNA,CHATRAI,CHITTAPURU2,33,1,61050,Kharif_2020
KRISHNA,NUZVID,GOLLAPALLI1,141,2,260850,Rabi_2020
KRISHNA,AGIRIPALLI,ADAVINEKKALAM1,51.5,2,95275,Kharif_2020
KRISHNA,IBRAHIMPATNAM,DAMULURU,327,3,604950,Rabi_2020
KRISHNA,CHATRAI,JANARDHANAVARAM,423,4,782550,Kharif_2020
KRISHNA,CHATRAI,BURUGUGUDEM,342,4,632700,Kharif_2020
KRISHNA,NANDIGAMA,PALLAGIRI,703,3,1300550,Rabi_2020
KRISHNA,JAGGAYYAPETA,VEDADRI,161,1,297850,Rabi_2020
KRISHNA,CHANDARLAPADU,THURLAPADU,77.5,1,143375,Kharif_2020
KRISHNA,VEERULLAPADU,BODAVADA,1667,17,3083950,Kharif_2020
KRISHNA,VEERULLAPADU,VELLANKI,4249.5,45,7861575,Kharif_2020
KRISHNA,VEERULLAPADU,CHOWTAPALLI,10399.5,110,19239075,Kharif_2020
KRISHNA,VEERULLAPADU,JUJJURU1,13477.5,144,24933375,Kharif_2020
KRISHNA,NANDIGAMA,DAMULURU,754,17,1394900,Kharif_2020
KRISHNA,VATSAVAI,MAKKAPETA,387.5,6,716875,Kharif_2020
KRISHNA,NANDIGAMA,MAGALLU,1408.5,6,2605725,Rabi_2020
KRISHNA,PENUGANCHIPROLU,SANAGAPADU,303.5,5,561475,Kharif_2020
KRISHNA,CHATRAI,TUMMAGUDEM,494.5,6,914825,Kharif_2020
KRISHNA,MYLAVARAM,THOLUKODU,126.5,4,234025,Kharif_2020
KRISHNA,CHATRAI,CHITTAPURU1,187,3,345950,Kharif_2020
KRISHNA,KANCHIKACHERLA,VEMULAPALLI,428.5,5,792725,Kharif_2020
KRISHNA,A.KONDURU,RAMCHANDRAPURAM,33.5,1,61975,Kharif_2020
KRISHNA,KANCHIKACHERLA,CHEVITIKALLU,160,3,296000,Kharif_2020
KRISHNA,CHATRAI,JANARDHANAVARAM,135,2,249750,Rabi_2020
KRISHNA,CHANDARLAPADU,PEDDAVARAM,445.5,2,824175,Kharif_2020
KRISHNA,VATSAVAI,PEDAMODUGUPALLI,516,1,954600,Rabi_2020
KRISHNA,JAGGAYYAPETA,CHILAKALLU1,174,2,321900,Rabi_2020
KRISHNA,CHANDARLAPADU,THOTARAVULAPADU,116.5,2,215525,Kharif_2020
KRISHNA,CHANDARLAPADU,VIBHARINTHALAPADU,1818,17,3363300,Kharif_2020
KRISHNA,VATSAVAI,DABBAKUPALLI,371.5,3,687275,Kharif_2020
KRISHNA,KANCHIKACHERLA,PARITALA1,672,8,1243200,Kharif_2020
KRISHNA,NANDIGAMA,KETAVEERNIPADU,1074,12,1986900,Kharif_2020
KRISHNA,VEERULLAPADU,VEERULLAPADU,7735,97,14309750,Kharif_2020
KRISHNA,VEERULLAPADU,PONNAVARAM,2200.5,26,4070925,Kharif_2020
KRISHNA,VATSAVAI,POLAMPALLE,545.5,6,1009175,Kharif_2020
KRISHNA,KANCHIKACHERLA,PENDYALA1,54,2,99900,Kharif_2020
KRISHNA,G KONDURU,G.KONDURU1,44.5,1,82325,Kharif_2020
KRISHNA,CHANDARLAPADU,CHINTHALAPADU,320,1,592000,Kharif_2020
KRISHNA,NANDIGAMA,RAGHAVAPURAM,43,1,79550,Kharif_2020
KRISHNA,KANCHIKACHERLA,GOTTMUKKALA,413.5,3,764975,Rabi_2020
KRISHNA,NANDIGAMA,CHANDAPURAM,539,2,997150,Rabi_2020
KRISHNA,MUSUNURU,CHAKKAPALLI,260.5,2,481925,Kharif_2020
KRISHNA,IBRAHIMPATNAM,IBRAHIMPATNAM1,40,2,74000,Rabi_2020
KRISHNA,KANCHIKACHERLA,PERAKALAPADU,248,10,1264800,Rabi_2020
KRISHNA,NANDIGAMA,GOLLAMUDI,748.5,11,1384725,Kharif_2020
KRISHNA,MYLAVARAM,PULLURU1,818,12,1513300,Kharif_2020
KRISHNA,CHANDARLAPADU,KODAVATIKALLU,250,6,462500,Kharif_2020
KRISHNA,VEERULLAPADU,ALLURU2,7326,114,13553100,Kharif_2020
KRISHNA,MUSUNURU,GULLAPUDI,577.5,9,1068375,Rabi_2020
KRISHNA,NANDIGAMA,KANCHELA,79,2,146150,Kharif_2020
KRISHNA,NUZVID,MUKKOLLUPADU,466.5,3,863025,Rabi_2020
KRISHNA,PENUGANCHIPROLU,ANIGANDLAPADU1,673.5,4,1245975,Kharif_2020
KRISHNA,MYLAVARAM,PULLURU1,179,4,331150,Rabi_2020
KRISHNA,PENUGANCHIPROLU,MUNDLAPADU,108.5,2,200725,Rabi_2020
KRISHNA,NANDIGAMA,ADAVIRAVULAPADU,625.5,6,1157175,Kharif_2020
KRISHNA,KANCHIKACHERLA,PARITALA1,132.5,1,245125,Rabi_2020
KRISHNA,CHANDARLAPADU,MUPPALLA1,56.5,1,104525,Rabi_2020
KRISHNA,IBRAHIMPATNAM,KETANAKONDA2,27,1,49950,Rabi_2020
KRISHNA,VATSAVAI,VATSAVAI2,1018.5,9,1884225,Rabi_2020
KRISHNA,CHANDARLAPADU,CHINTHALAPADU,1650.5,11,3053425,Rabi_2020
KRISHNA,NANDIGAMA,RAMIREDDIPALLI,1060.5,27,1961925,Kharif_2020
KRISHNA,CHATRAI,NARASIMARAOPALEM,1011.5,9,1871275,Rabi_2020
KRISHNA,A.KONDURU,REPUDI,861,11,1592850,Rabi_2020
KRISHNA,VEERULLAPADU,KONTALAPALLI,7806.5,110,14442025,Kharif_2020
KRISHNA,KANCHIKACHERLA,KOTHAPETA,3320.5,24,6142925,Kharif_2020
KRISHNA,A.KONDURU,KHAMBHAMPADU2,351.5,6,650275,Rabi_2020
KRISHNA,CHATRAI,KOTHAGUDEM,411,6,760350,Rabi_2020
KRISHNA,CHATRAI,CHATRAI,1523.5,27,2818475,Rabi_2020
KRISHNA,KANCHIKACHERLA,KANCHIKACHERLA2,127,4,647700,Rabi_2020
KRISHNA,CHANDARLAPADU,MUPPALLA1,580,3,1073000,Kharif_2020
